place_id,lugar_id,place_name,standardize_label,alt_names,place_type,es_parte,latitude,longitude,language,source,uri,country_code,mentioned_as
80,80,Ccaralla,Ccaralla,Jaralla|Ccaralla|Aralla|Caralla,caserio,47,-14.22465,-74.08087,es,Grecia Roque (collaborator GIS data),,PE,"['Aralla', 'Caralla', 'Ccaralla', 'Jaralla']"
81,81,Marca,Marca,,,,-13.78445,-73.95074,es,Grecia Roque (collaborator GIS data),,PE,['Marca']
82,82,Huayanay,Huayanay,Guayanay,,,-13.02251,-73.98065,es,Grecia Roque (collaborator GIS data),,PE,['Guayanay']
83,83,Huaytará,Huaytará,Huaytara,parroquia,,-13.60444,-75.35307,es,Grecia Roque (collaborator GIS data),,PE,"['Huaytara', 'Huaytará']"
84,84,Julcamarca,Julcamarca,,,,-13.01443,-74.44459,es,Grecia Roque (collaborator GIS data),,PE,['Julcamarca']
85,85,Lima,Lima,,,,-12.04592,-77.0305,es,Grecia Roque (collaborator GIS data),,PE,['Lima']
86,86,Ocaña,Ocaña,,,,-14.39862,-74.82269,es,Grecia Roque (collaborator GIS data),,PE,['Ocaña']
87,87,Oyolo,Oyolo,,,,-15.17916,-73.18506,es,Grecia Roque (collaborator GIS data),,PE,['Oyolo']
88,88,Palco,Palco,Pallcco|Pallco|Payco,viceparroquia,45,-14.41196,-74.65103,es,Grecia Roque (collaborator GIS data),,PE,"['Palco', 'Pallcco', 'Pallco', 'Payco', 'Tallcco']"
89,89,Paico,Paico,,,,-14.03841,-73.64213,es,Grecia Roque (collaborator GIS data),,PE,['Paico']
90,90,Pausa,Pausa,Pauza,,,-15.27887,-73.34435,es,Grecia Roque (collaborator GIS data),,PE,"['Pausa', 'Pauza']"
91,91,Poma,Poma,,viceparroquia,93,-13.97902,-73.82245,es,Grecia Roque (collaborator GIS data),,PE,['Poma']
92,92,Pullo,Pullo,,pueblo,,-15.2103,-73.82665,es,Grecia Roque (collaborator GIS data),,PE,['Pullo']
93,93,Querobamba,Querobamba,,parroquia,,-14.01129,-73.83882,es,Grecia Roque (collaborator GIS data),,PE,['Querobamba']
94,94,Urabamba,Urabamba,,,,-14.12137,-74.4166,es,Grecia Roque (collaborator GIS data),,PE,['Urabamba']
95,95,Puta,Puta,,caserio,,-14.11689,-74.19838,es,Grecia Roque (collaborator GIS data),,PE,['Puta']
96,96,Yanaccollpa,Yanaccollpa,,,,-14.54731,-74.2617,es,Grecia Roque (collaborator GIS data),,PE,['Yanaccollpa']
97,97,Quicco,Quicco,,,93,-13.96841,-73.7347,es,Grecia Roque (collaborator GIS data),,PE,['Quicco']
98,98,Tallcce,Tallcce,,caserio,,-14.22133,-74.05511,es,Grecia Roque (collaborator GIS data),,PE,"['Tallcce', 'Tallce']"
99,99,San Jeronimo,San Jeronimo,,pueblo,,-13.98002,-75.70013,es,Grecia Roque (collaborator GIS data),,PE,['San Jeronimo']
100,100,San Juan,San Juan,,pueblo,,-14.65154,-74.19889,es,Grecia Roque (collaborator GIS data),,PE,[]
101,101,San Pedro,San Pedro,,,,-14.76718,-74.09767,es,Grecia Roque (collaborator GIS data),,PE,['San Pedro']
102,102,Puna de Aucará,Puna de Aucará,,,,-14.28642,-73.99676,es,Grecia Roque (collaborator GIS data),,PE,"['Pueblo de Aucará', 'Puna de Aucara', 'Punas de Aucara', 'Punas de Aucará']"
103,103,Puna de Bisbicha,Puna de Bisbicha,,,,-14.18816,-74.16633,es,Grecia Roque (collaborator GIS data),,PE,[]
104,104,Puna de Palco,Puna de Palco,,,,-14.36168,-74.61833,es,Grecia Roque (collaborator GIS data),,PE,"['Punas de Palco', 'punas de Palco']"
105,105,Chiccayse,Chiccayse,,,,-15.05714,-76.50073,es,Grecia Roque (collaborator GIS data),,PE,['Chiccayse']
106,106,Chumpe,Chumpe,,,,-15.15308,-76.48425,es,Grecia Roque (collaborator GIS data),,PE,['Chumpe']
107,107,Churbe,Churbe,,,,-15.21199,-76.39454,es,Grecia Roque (collaborator GIS data),,PE,['Churbe']
108,108,Huambo,Huambo,,,,-13.67995,-74.1936,es,Grecia Roque (collaborator GIS data),,PE,['Huambo']
